name,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions,_code
United States of America,6,42,32,31,42,25,13,185,1,5,1,0,0,USA
People's Republic of China,6,42,36,12,42,22,27,181,2,4,2,0,0,CHN
Republic of Korea,6,42,15,18,42,25,19,161,3,3,1,2,0,KOR
Democratic People's Republic of Korea,6,42,25,17,42,22,8,156,4,3,3,0,0,PRK
Vietnam,6,35,21,23,42,28,2,151,5,2,3,1,0,VNM
Australia,6,42,26,11,42,20,7,148,6,2,4,0,0,AUS
Islamic Republic of Iran,6,40,14,31,42,12,6,145,7,3,2,1,0,IRN
Russian Federation,6,42,19,8,42,9,21,141,8,0,6,0,0,RUS
Canada,6,39,17,7,42,21,14,140,9,2,0,4,0,CAN
Singapore,6,39,26,10,42,17,5,139,10,1,4,1,0,SGP
Ukraine,6,33,22,10,42,19,9,135,11,2,3,1,0,UKR
Thailand,6,42,21,1,42,28,0,134,12,2,3,1,0,THA
Romania,6,37,21,12,42,20,0,132,13,1,4,1,0,ROU
France,6,36,16,8,41,16,3,120,14,0,3,3,0,FRA
Croatia,6,36,18,4,39,22,0,119,15,1,3,1,0,HRV
Peru,6,33,16,9,37,23,0,118,16,2,2,1,0,PER
Poland,6,33,12,21,38,7,6,117,17,1,1,4,0,POL
Taiwan,6,35,9,5,40,18,8,115,18,0,4,1,1,TWN
Mexico,6,42,14,5,42,9,2,114,19,1,2,3,0,MEX
Hungary,6,42,13,4,38,11,5,113,20,0,3,3,0,HUN
Turkey,6,36,26,6,35,10,0,113,20,0,5,0,0,TUR
Brazil,6,38,7,5,42,14,3,109,22,0,3,3,0,BRA
Japan,6,42,11,8,38,8,2,109,22,0,3,3,0,JPN
United Kingdom,6,42,15,3,36,12,1,109,22,0,4,1,1,UNK
Kazakhstan,6,30,14,3,42,16,0,105,25,1,1,2,2,KAZ
Armenia,6,39,7,9,42,7,0,104,26,0,1,5,0,ARM
Germany,6,35,14,3,33,9,8,102,27,0,2,3,0,GER
Hong Kong,6,41,12,1,23,17,7,101,28,0,2,3,1,HKG
Bulgaria,6,36,13,9,32,5,5,100,29,0,2,1,2,BGR
Indonesia,6,36,5,1,42,16,0,100,29,0,2,4,0,IDN
Italy,6,27,16,15,26,12,4,100,29,1,2,0,0,ITA
Serbia,6,35,11,1,35,18,0,100,29,1,1,2,2,SRB
Bangladesh,6,32,6,4,42,13,0,97,33,0,1,4,1,BGD
Slovakia,6,33,13,0,36,5,10,97,33,0,2,3,0,SVK
Macau,6,26,2,3,42,15,0,88,35,0,1,2,3,MAC
Philippines,6,35,6,2,35,7,2,87,36,0,2,2,1,PHI
India,6,17,23,4,37,5,0,86,37,0,1,2,3,IND
Republic of Moldova,6,32,1,8,31,13,0,85,38,0,1,2,3,MDA
Belarus,6,31,7,2,38,6,0,84,39,0,0,3,3,BLR
Israel,6,36,14,5,18,9,1,83,40,1,0,2,2,ISR
Saudi Arabia,6,25,6,1,39,10,0,81,41,0,1,3,2,SAU
Georgia,6,31,6,1,35,7,0,80,42,0,1,3,1,GEO
Bosnia and Herzegovina,6,21,4,3,42,6,0,76,43,0,0,2,4,BIH
Netherlands,6,35,7,0,29,5,0,76,43,0,0,3,1,NLD
Czech Republic,6,38,5,0,24,7,0,74,45,0,0,3,3,CZE
Mongolia,6,23,4,2,35,10,0,74,45,0,0,2,4,MNG
Switzerland,6,38,4,0,25,7,0,74,45,0,0,3,2,SUI
Azerbaijan,6,12,10,1,42,8,0,73,48,0,0,2,4,AZE
Colombia,6,32,3,2,31,3,1,72,49,0,0,4,0,COL
New Zealand,6,30,1,0,33,8,0,72,49,0,0,2,4,NZL
Greece,6,19,7,1,37,7,0,71,51,0,1,2,2,HEL
Argentina,6,33,4,0,29,4,0,70,52,0,0,1,4,ARG
Portugal,6,32,5,1,22,10,0,70,52,0,0,3,1,POR
Syria,6,17,4,1,39,8,0,69,54,0,1,1,3,SYR
South Africa,6,27,4,0,27,8,2,68,55,0,0,1,2,SAF
Belgium,6,31,6,1,18,8,3,67,56,0,1,0,3,BEL
Malaysia,6,28,2,1,30,5,0,66,57,0,0,3,1,MAS
Turkmenistan,6,18,3,1,29,13,0,64,58,0,0,2,2,TKM
Uzbekistan,6,6,9,1,37,11,0,64,58,0,0,3,2,UZB
Austria,6,30,4,0,25,4,0,63,60,0,0,3,1,AUT
Sweden,6,36,2,1,18,6,0,63,60,0,0,2,2,SWE
Algeria,6,17,6,2,30,5,0,60,62,0,1,1,2,ALG
Cyprus,6,27,1,4,18,8,0,58,63,0,1,0,2,CYP
Tajikistan,5,11,10,2,30,4,0,57,64,0,1,1,2,TJK
Lithuania,6,30,3,0,17,4,0,54,65,0,0,1,1,LTU
Norway,6,29,4,0,14,7,0,54,65,0,1,0,2,NOR
Costa Rica,6,18,1,0,30,4,0,53,67,0,0,2,2,CRI
Paraguay,6,20,4,0,25,4,0,53,67,0,0,3,0,PAR
Denmark,6,23,3,0,23,3,0,52,69,0,0,2,1,DEN
Estonia,6,28,1,0,14,7,1,51,70,0,0,1,3,EST
Sri Lanka,6,15,0,1,30,5,0,51,70,0,0,0,4,LKA
Spain,6,27,1,0,15,4,0,47,72,0,0,1,2,ESP
Slovenia,6,30,1,0,14,1,0,46,73,0,0,1,1,SVN
North Macedonia,6,12,1,2,24,6,0,45,74,0,0,1,1,MKD
Iceland,6,19,2,0,19,1,0,41,75,0,0,0,3,ISL
Tunisia,4,16,1,1,18,5,0,41,75,0,0,1,2,TUN
Albania,6,7,2,1,23,4,0,37,77,0,0,0,3,ALB
Ireland,6,12,2,0,19,4,0,37,77,0,0,0,3,IRL
Latvia,6,20,1,0,11,4,0,36,79,0,0,0,3,LVA
Ecuador,6,7,2,0,16,2,0,27,80,0,0,0,2,ECU
Morocco,6,6,1,1,11,8,0,27,80,0,0,0,1,MAR
Finland,6,17,0,0,8,1,0,26,82,0,0,0,1,FIN
Nicaragua,3,1,1,1,21,2,0,26,82,0,0,0,3,NIC
Trinidad and Tobago,4,11,4,0,9,2,0,26,82,0,1,0,0,TTO
Pakistan,6,7,3,0,13,2,0,25,85,0,0,1,0,PAK
Cambodia,6,1,0,1,20,2,0,24,86,0,0,0,2,KHM
Kosovo,6,6,2,0,10,6,0,24,86,0,0,0,1,KSV
Nigeria,6,4,1,1,14,2,0,22,88,0,0,0,2,NGA
Montenegro,3,7,2,0,7,3,0,19,89,0,0,1,0,MNE
Liechtenstein,1,7,2,0,7,2,0,18,90,0,0,1,0,LIE
Puerto Rico,3,8,0,0,10,0,0,18,90,0,0,1,0,PRI
Kyrgyzstan,6,1,2,1,11,2,0,17,92,0,0,0,0,KGZ
Uruguay,6,7,0,0,8,1,0,16,93,0,0,0,1,URY
Cuba,1,7,0,0,7,1,0,15,94,0,0,1,0,CUB
El Salvador,4,2,2,1,2,7,0,14,95,0,0,0,0,SLV
Venezuela,2,2,0,0,10,1,0,13,96,0,0,0,1,VEN
Chile,2,2,1,0,9,0,0,12,97,0,0,0,1,CHI
Luxembourg,2,2,0,0,9,1,0,12,97,0,0,0,1,LUX
Panama,3,2,0,1,4,2,0,9,99,0,0,0,0,PAN
Uganda,5,0,0,0,6,0,0,6,100,0,0,0,0,UGA
Bolivia,5,1,1,0,3,0,0,5,101,0,0,0,0,BOL
Ghana,5,1,0,0,4,0,0,5,101,0,0,0,0,GHA
Botswana,6,0,0,0,1,0,0,1,103,0,0,0,0,BWA
Tanzania,3,0,0,0,0,0,0,0,104,0,0,0,0,TZA
